10:32:57:553 [ALWAYS]	GUDE Logging Started
10:32:57:594 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:32:57:594 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:32:57:594 [ERROR]	Initialize resume cache pointer failure
10:32:57:596 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:32:57:596 [INFO]	Initialized -- gude-lib version: v0.11.1 app: gude
10:32:59:629 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:33:01:647 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:33:07:650 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:33:19:677 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:35:39:000 [ALWAYS]	GUDE Logging Started
10:35:39:010 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:35:39:010 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:35:39:010 [ERROR]	Initialize resume cache pointer failure
10:35:39:010 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:35:39:010 [INFO]	Initialized -- gude-lib version: v0.11.1 app: gude
10:35:41:018 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:35:43:025 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:35:49:030 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:36:01:041 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:39:39:233 [ALWAYS]	GUDE Logging Started
10:39:39:234 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:39:39:234 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:39:39:234 [ERROR]	Initialize resume cache pointer failure
10:39:39:234 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:39:39:234 [INFO]	Initialized -- gude-lib version: v0.11.1 app: gude
10:39:41:244 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:39:43:259 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:39:49:271 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:40:01:279 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:40:09:288 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:40:11:297 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:40:35:311 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
10:46:24:392 [ALWAYS]	GUDE Logging Started
